seed,pool,static_fee_pips,lp_minus_hodl_bps,fee_income_bps,fee_noise_bps,fee_arb_bps,arb_profit_bps,arb_profit_trend_bps,arb_profit_reversion_bps,arb_fee_trend_bps,arb_fee_reversion_bps,avg_fee_up_pips,avg_fee_down_pips,avg_fee_noise_pips,avg_fee_arb_pips,arb_trades
12,static 0.30%,3000,-4.755,6.521,5.215,1.306,0.479,0.294,0.184,0.794,0.512,3000,3000,3000,3000,125
13,StoikovHook,dynamic,-10.348,5.130,3.501,1.629,0.699,0.428,0.271,1.068,0.560,1642,2944,2249,2703,180
13,fee-matched,2250,-10.583,4.875,3.501,1.373,0.689,0.423,0.266,0.820,0.552,2250,2250,2250,2250,183
13,static 0.05%,500,-14.113,1.280,0.778,0.502,1.134,0.644,0.489,0.279,0.222,500,500,500,500,301
13,static 0.30%,3000,-9.179,6.303,4.669,1.634,0.623,0.404,0.218,1.024,0.609,3000,3000,3000,3000,165
14,StoikovHook,dynamic,-3.189,5.138,3.912,1.226,0.504,0.285,0.218,0.728,0.497,2841,1760,2321,2458,156
14,fee-matched,2322,-3.258,5.055,3.912,1.143,0.499,0.278,0.221,0.599,0.543,2322,2322,2322,2322,151
14,static 0.05%,500,-6.998,1.357,0.842,0.515,1.123,0.543,0.579,0.245,0.269,500,500,500,500,296
14,static 0.30%,3000,-1.969,6.326,5.054,1.271,0.426,0.256,0.169,0.723,0.548,3000,3000,3000,3000,126
15,StoikovHook,dynamic,-9.948,4.610,3.054,1.556,0.657,0.452,0.205,1.088,0.467,1570,2956,2200,2742,184
15,fee-matched,2201,-10.243,4.299,3.054,1.244,0.644,0.447,0.197,0.789,0.455,2201,2201,2201,2201,183
15,static 0.05%,500,-13.287,1.200,0.693,0.507,1.173,0.649,0.524,0.270,0.236,500,500,500,500,330
15,static 0.30%,3000,-8.989,5.578,4.163,1.414,0.538,0.420,0.117,1.010,0.404,3000,3000,3000,3000,160
16,StoikovHook,dynamic,-10.075,5.629,3.704,1.924,0.802,0.554,0.247,1.439,0.485,3051,1679,2277,2872,184
